trf_size	54	100	146	204	230	298	360	412	486	570
training_time	36	28	26	34	35	39	39	34	32	34
erf_rate_before_training	0.8256	0.5080	0.4090	0.4592	0.3215	0.3601	0.2955	0.4388	0.2972	0.2690
erf_rate	0.9854	0.9548	0.9732	0.1771	0.8143	0.0024	0.5025	0.0013	0.0016	0.0025
dice_score	0.8307	0.9213	0.9524	0.9538	0.9625	0.9640	0.9642	0.9655	0.9675	0.9667
object_rate	67.3558	16.8389	7.4840	4.0325	2.6942	1.7922	1.0997	0.9870	0.6452	0.4481
accuracy	0.8984	0.9512	0.9708	0.9715	0.9769	0.9781	0.9780	0.9791	0.9807	0.9803
sensitivity	0.9085	0.9553	0.9528	0.9727	0.9591	0.9665	0.9637	0.9621	0.9638	0.9671
specificity	0.8920	0.9476	0.9799	0.9711	0.9869	0.9848	0.9865	0.9891	0.9905	0.9879
jaccard_score	0.7200	0.8656	0.9206	0.9231	0.9388	0.9417	0.9420	0.9445	0.9482	0.9469
