trf_size	54	100	146	204	230	298	360	412	486	570
training_time	6	3	4	2	4	8	4	6	4	12
erf_rate_before_training	0.8459	0.5388	0.4327	0.5030	0.3511	0.4051	0.3217	0.4826	0.3293	0.3049
erf_rate	1.0000	0.9070	0.8755	0.0325	0.7660	0.0845	0.3467	0.0030	0.1717	0.1735
dice_score	0.7094	0.8058	0.8403	0.8574	0.8895	0.9025	0.9082	0.9135	0.9106	0.9224
object_rate	35.5599	8.8900	3.9511	2.1289	1.4224	0.9462	0.5806	0.5211	0.3406	0.2850
accuracy	0.9155	0.9380	0.9476	0.9508	0.9621	0.9658	0.9673	0.9699	0.9698	0.9518
sensitivity	0.8614	0.8797	0.9172	0.9281	0.9419	0.9521	0.9465	0.9424	0.9513	0.9395
specificity	0.9232	0.9479	0.9516	0.9529	0.9648	0.9668	0.9688	0.9739	0.9705	0.9612
jaccard_score	0.5716	0.6892	0.7341	0.7616	0.8130	0.8350	0.8441	0.8542	0.8517	0.8723
