trf_size	54	100	146	204	230	298	360	412	486	570
training_time	27	29	25	48	52	50	57	57	65	55
erf_rate_before_training	0.8694	0.5124	0.4018	0.4715	0.3262	0.3916	0.2979	0.4270	0.3122	0.2975
erf_rate	0.1832	0.1251	0.0902	0.0406	0.1925	0.0388	0.0122	0.0015	0.0049	0.0019
dice_score	0.7481	0.8529	0.8410	0.8542	0.8709	0.8484	0.8703	0.8558	0.8979	0.8586
object_rate	27.4954	6.8738	3.0550	1.6461	1.0998	0.7316	0.4489	0.4029	0.2634	0.1829
accuracy	0.9829	0.9911	0.9896	0.9911	0.9917	0.9901	0.9918	0.9913	0.9930	0.9903
sensitivity	0.8210	0.8484	0.8500	0.8813	0.8878	0.8360	0.8813	0.8849	0.8920	0.8742
specificity	0.9867	0.9959	0.9951	0.9942	0.9951	0.9952	0.9954	0.9952	0.9965	0.9936
jaccard_score	0.6197	0.7720	0.7505	0.7747	0.7967	0.7687	0.7990	0.7798	0.8300	0.7759
