trf_size	54	100	146	204	230	298	360	412	486	570
training_time	21	22	30	16	31	23	29	17	30	30
erf_rate_before_training	0.8377	0.5446	0.4295	0.5266	0.3453	0.3745	0.3063	0.4558	0.3053	0.3143
erf_rate	0.8615	0.6073	0.4391	0.0071	0.0240	0.1075	0.0245	0.0044	0.0084	0.0045
dice_score	0.9574	0.9677	0.9673	0.9672	0.9668	0.9662	0.9671	0.9649	0.9666	0.9681
object_rate	84.4219	21.1055	9.3802	5.0542	3.3769	2.2463	1.3784	1.2371	0.8087	0.5616
accuracy	0.9769	0.9824	0.9822	0.9823	0.9819	0.9817	0.9822	0.9810	0.9819	0.9827
sensitivity	0.9488	0.9738	0.9629	0.9665	0.9728	0.9636	0.9711	0.9618	0.9685	0.9684
specificity	0.9867	0.9850	0.9886	0.9872	0.9846	0.9875	0.9856	0.9871	0.9862	0.9874
jaccard_score	0.9191	0.9378	0.9371	0.9370	0.9363	0.9352	0.9370	0.9331	0.9362	0.9388
