trf_size	54	100	146	204	230	298	360	412	486	570
training_time	10	12	12	13	10	10	14	9	14	11
erf_rate_before_training	0.8478	0.5326	0.4261	0.4985	0.3459	0.3965	0.3144	0.4639	0.3263	0.3110
erf_rate	0.9638	0.8183	0.8422	0.4236	0.5661	0.2254	0.4018	0.0762	0.2615	0.1329
dice_score	0.4801	0.7014	0.7428	0.7708	0.7631	0.7689	0.7911	0.7911	0.7941	0.7964
object_rate	7.3183	1.8296	0.8131	0.4381	0.2927	0.1947	0.1195	0.1072	0.0701	0.0487
accuracy	0.9746	0.9849	0.9860	0.9872	0.9869	0.9867	0.9881	0.9875	0.9880	0.9881
sensitivity	0.5738	0.8122	0.7848	0.7959	0.8150	0.7957	0.8210	0.8139	0.8343	0.8228
specificity	0.9824	0.9885	0.9911	0.9924	0.9914	0.9922	0.9927	0.9929	0.9924	0.9930
jaccard_score	0.3427	0.5687	0.6203	0.6541	0.6437	0.6490	0.6761	0.6765	0.6770	0.6805

