trf_size	54	100	146	204	230	298	360	412	486	570
training_time	2	2	2	3	4	3	3	2	3	5
erf_rate_before_training	0.8760	0.5268	0.4179	0.4842	0.3426	0.4035	0.3087	0.4485	0.2973	0.3025
erf_rate	0.8913	0.6137	0.3449	0.0786	0.1057	0.0504	0.1024	0.0125	0.0468	0.0253
dice_score	0.5706	0.6773	0.6638	0.7464	0.7142	0.7181	0.7060	0.7455	0.7219	0.7420
object_rate	14.8609	3.7152	1.6512	0.8897	0.5944	0.3954	0.2426	0.2178	0.1424	0.0989
accuracy	0.9704	0.9811	0.9819	0.9844	0.9818	0.9835	0.9839	0.9832	0.9802	0.9836
sensitivity	0.6093	0.7146	0.7767	0.7933	0.7155	0.7677	0.7581	0.7960	0.7262	0.7863
specificity	0.9832	0.9897	0.9871	0.9904	0.9914	0.9903	0.9899	0.9902	0.9922	0.9901
jaccard_score	0.4402	0.5736	0.5609	0.6372	0.6085	0.6137	0.6084	0.6343	0.6114	0.6333
