trf_size	54	100	146	204	230	298	360	412	486	570
training_time	14	17	87	18	200	47	200	39	49	117
erf_rate_before_training	0.0353	0.0138	0.0088	0.0038	0.0059	0.0020	0.0040	0.0004	0.0010	0.0011
erf_rate	0.4710	0.0502	0.0392	0.0048	0.0047	0.0029	0.0036	0.0005	0.0013	0.0017
dice_score	0.8219	0.9791	0.9998	0.9996	0.9996	0.9997	0.9998	0.9996	0.9997	0.9999
object_rate	98.8970	24.7242	10.9886	5.9208	3.9559	2.6315	1.6147	1.4492	0.9473	0.6579
accuracy	0.9469	0.9930	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	1.0000
sensitivity	0.9505	0.9933	0.9999	0.9997	0.9996	0.9998	0.9998	0.9997	0.9997	0.9999
specificity	0.9465	0.9929	1.0000	0.9999	0.9999	0.9999	1.0000	0.9999	0.9999	1.0000
jaccard_score	0.6983	0.9591	0.9996	0.9992	0.9992	0.9995	0.9997	0.9992	0.9994	0.9997
