trf_size	54	100	146	204	230	298	360	412	486	570
training_time	50.0000	64.0000	57.0000	70.0000	97.0000	68.0000	105.0000	67.0000	99.0000	69.0000
erf_rate_before_training	0.0326	0.0097	0.0115	0.0019	0.0058	0.0008	0.0047	0.0008	0.0020	0.0015
erf_rate	0.0028	0.0007	0.0004	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	0.0000
dice_score	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
object_rate	137.8993	34.4748	15.3221	8.2559	5.5160	3.6693	2.2515	2.0207	1.3209	0.9173
accuracy	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
sensitivity	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
specificity	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
jaccard_score	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
