trf_size	54	100	146	204	230	298	360	412	486	570
training_time	20	12	81	125	137	42	194	139	144	182
erf_rate_before_training	0.0277	0.0063	0.0059	0.0018	0.0061	0.0019	0.0046	0.0005	0.0013	0.0012
erf_rate	0.5588	0.3507	0.0383	0.0018	0.0042	0.0012	0.0033	0.0006	0.0022	0.0009
dice_score	0.8067	0.9751	0.9997	0.9998	0.9998	0.9995	0.9998	0.9997	0.9998	0.9998
object_rate	62.1263	15.5316	6.9029	3.7194	2.4851	1.6531	1.0143	0.9104	0.5951	0.4133
accuracy	0.9620	0.9945	0.9999	1.0000	1.0000	0.9999	1.0000	0.9999	1.0000	1.0000
sensitivity	0.9490	0.9961	0.9998	0.9998	0.9998	0.9994	0.9998	0.9997	0.9998	0.9998
specificity	0.9633	0.9943	1.0000	1.0000	1.0000	0.9999	1.0000	1.0000	1.0000	1.0000
jaccard_score	0.6771	0.9515	0.9995	0.9996	0.9996	0.9989	0.9997	0.9995	0.9996	0.9997
