trf_size	54	100	146	204	230	298	360	412	486	570
training_time	34	67	63	184	28	59	143	35	110	199
erf_rate_before_training	0.0231	0.0077	0.0087	0.0023	0.0048	0.0030	0.0049	0.0005	0.0019	0.0011
erf_rate	0.0021	0.0016	0.0006	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001
dice_score	0.8703	0.9454	0.9933	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
object_rate	85.1332	21.2833	9.4592	5.0968	3.4053	2.2653	1.3900	1.2475	0.8155	0.5663
accuracy	0.9368	0.9756	0.9971	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
sensitivity	0.7825	0.9161	0.9933	1.0000	0.9999	1.0000	1.0000	1.0000	1.0000	1.0000
specificity	0.9943	0.9937	0.9982	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
jaccard_score	0.7706	0.8974	0.9868	1.0000	0.9999	0.9999	1.0000	0.9999	1.0000	1.0000
